PDB_ID,Publication_PMID,Epitope_Residues,Epitope_Sequence,Validation_Method,Confidence
2ny3,17301785,,,,medium
1nca,9692956,,,,medium
2vxs,19835883,,,,medium
2oqj,18198210,,,,medium
2ny0,17301785,,,,medium
2r56,17997967,,,,medium
2qhr,18005986,,,,medium
1vfb,8302837,,,,medium
3hi6,19805116,,,,medium
1oau,12610298,,,,medium
3q3g,22095715,,,,medium
2vwe,18930733,,,,medium
3eob,19258452,,,,medium
3etb,19361425,,,,medium
3ifp,19923222,,,,medium
2ntf,17400249,,,,medium
3uc0,22139356,,,,medium
3iu3,20032294,,,,medium
1ngw,12552112,,,,medium
2z92,18463096,,,,medium
1n7m,12552112,,,,medium
2qr0,17825836,,,,medium
3eoa,19258452,,,,medium
3n85,20654626,,,,medium
2nyy,17173035,,,,medium
3eo1,19073914,,,,medium
2hkf,18041760,,,,medium
1dzb,10926506,,,,medium
1igj,8234291,,,,medium
1ob1,12729744,,,,medium
3nfp,20820193,,,,medium
2vxs,19835883,,,,medium
3g5y,19289842,,,,medium
1f90,11468348,,,,medium
1uwx,16470851,,,,medium
2jix,17620453,,,,medium
2r0z,17895381,,,,medium
1ind,8218161,,,,medium
3b2u,18275813,,,,medium
3c09,18394559,,,,medium
3nh7,20927405,,,,medium
3etb,19361425,,,,medium
1f4x,10880560,,,,medium
3mac,21085615,,,,medium
1hez,11587642,,,,medium
4gxu,23236279,,,,medium
2fx8,17125793,,,,medium
1ngw,12552112,,,,medium
2ny1,17301785,,,,medium
3l5w,20226193,,,,medium
4gxu,23236279,,,,medium
1pz5,14645714,,,,medium
3p0y,22014573,,,,medium
4gxu,23236279,,,,medium
1e6j,11080628,,,,medium
2oqj,18198210,,,,medium
3lhp,20826338,,,,medium
3lh2,20826338,,,,medium
3b2u,18275813,,,,medium
2aep,16384583,,,,medium
3rkd,21642534,,,,medium
3ifp,19923222,,,,medium
1oau,12610298,,,,medium
3h3p,19906921,,,,medium
3nh7,20927405,,,,medium
1tet,7690406,,,,medium
1bj1,9753694,,,,medium
3nfp,20820193,,,,medium
3e8u,19274732,,,,medium
2fx9,17125793,,,,medium
3ggw,19328810,,,,medium
3qwo,21549714,,,,medium
1i8k,11352579,,,,medium
2a6i,16618601,,,,medium
1aj7,9180069,,,,medium
2zpk,18787202,,,,medium
3eo1,19073914,,,,medium
1n64,12574359,,,,medium
2or9,18473392,,,,medium
1nby,12515535,,,,medium
2fx8,17125793,,,,medium
1hh6,10990450,,,,medium
2oqj,18198210,,,,medium
2yk1,22079050,,,,medium
3etb,19361425,,,,medium
3kdm,21360611,,,,medium
1za3,15854651,,,,medium
3eo1,19073914,,,,medium
3nh7,20927405,,,,medium
1oay,12610298,,,,medium
4gxu,23236279,,,,medium
2xqb,21167836,,,,medium
3b2u,18275813,,,,medium
3eyu,19385664,,,,medium
2qr0,17825836,,,,medium
2fjh,16373345,,,,medium
3mxw,20504762,,,,medium
1p4b,14754898,,,,medium
2oqj,18198210,,,,medium
2h9g,16859704,,,,medium
2fjg,16373345,,,,medium
3bgf,19324051,,,,medium
3ifl,19923222,,,,medium
2zpk,18787202,,,,medium
1fl6,11535051,,,,medium
1hez,11587642,,,,medium
3eyf,18772881,,,,medium
1hh9,10990450,,,,medium
1fl6,11535051,,,,medium
3q3g,22095715,,,,medium
3ixt,20098425,,,,medium
3eo1,19073914,,,,medium
2fjh,16373345,,,,medium
2w9e,19204296,,,,medium
3ifp,19923222,,,,medium
2hfg,16840730,,,,medium
2vxs,19835883,,,,medium
2b2x,16597831,,,,medium
3etb,19361425,,,,medium
3l5x,20226193,,,,medium
2vxq,19201867,,,,medium
1jrh,9367779,,,,medium
2j5l,17229439,,,,medium
3lhp,20826338,,,,medium
2vxs,19835883,,,,medium
3hi6,19805116,,,,medium
3eyf,18772881,,,,medium
3ghe,19913488,,,,medium
2qr0,17825836,,,,medium
4gxu,23236279,,,,medium
3h3p,19906921,,,,medium
3o6m,21035463,,,,medium
1dqj,10828942,,,,medium
4gxu,23236279,,,,medium
2jel,9671548,,,,medium
2qr0,17825836,,,,medium
1nsn,1704035,,,,medium
3eys,19385664,,,,medium
2r0l,18077410,,,,medium
2qr0,17825836,,,,medium
2nxz,17301785,,,,medium
3ixt,20098425,,,,medium
1p2c,14988501,,,,medium
1qfu,10360354,,,,medium
1bvk,1560463,,,,medium
3ma9,21085615,,,,medium
1nbz,12515535,,,,medium
1cz8,10543973,,,,medium
3p11,22014573,,,,medium
1za3,15854651,,,,medium
2xtj,20959675,,,,medium
3ifo,19923222,,,,medium
2nz9,17173035,,,,medium
1tzi,15306681,,,,medium
3iu3,20032294,,,,medium
2aeq,16384583,,,,medium
3iu3,20032294,,,,medium
3be1,19299620,,,,medium
2qr0,17825836,,,,medium
2xra,21124990,,,,medium
2ny5,17301785,,,,medium
3eoa,19258452,,,,medium
2fjg,16373345,,,,medium
3nh7,20927405,,,,medium
3i9g,19815502,,,,medium
2ny7,17301785,,,,medium
3ngb,20616231,,,,medium
1p2c,14988501,,,,medium
3o6l,21035463,,,,medium
3b2u,18275813,,,,medium
2ny6,17301785,,,,medium
2fx8,17125793,,,,medium
2vxt,19553661,,,,medium
2xzc,21896761,,,,medium
3ngb,20616231,,,,medium
1a4k,9506942,,,,medium
2j4w,17229439,,,,medium
3hi1,19965434,,,,medium
3ifp,19923222,,,,medium
1yy9,15837620,,,,medium
3g5v,19289842,,,,medium
3lev,20876137,,,,medium
1kel,11535051,,,,medium
2eh8,17517649,,,,medium
3kdm,21360611,,,,medium
2or9,18473392,,,,medium
3lh2,20826338,,,,medium
1nma,7517697,,,,medium
2fx8,17125793,,,,medium
1oay,12610298,,,,medium
2qr0,17825836,,,,medium
2bdn,16682434,,,,medium
3q3g,22095715,,,,medium
2jix,17620453,,,,medium
2fx7,17125793,,,,medium
1bj1,9753694,,,,medium
1bvk,1560463,,,,medium
3ifo,19923222,,,,medium
3qwo,21549714,,,,medium
2nxy,17301785,,,,medium
3uc0,22139356,,,,medium
1tzh,15306681,,,,medium
1tzh,15306681,,,,medium
3lh2,20826338,,,,medium
3eob,19258452,,,,medium
3skj,21867711,,,,medium
3b2u,18275813,,,,medium
1wej,7539913,,,,medium
2ny2,17301785,,,,medium
2r0k,18077410,,,,medium
2b2x,16597831,,,,medium
2ntf,17400249,,,,medium
3b2v,18275813,,,,medium
2hrp,9150407,,,,medium
1igj,8234291,,,,medium
3c09,18394559,,,,medium
3q3g,22095715,,,,medium
3ngb,20616231,,,,medium
1ob1,12729744,,,,medium
3rkd,21642534,,,,medium
3l5w,20226193,,,,medium
2nz9,17173035,,,,medium
3bdy,19299620,,,,medium
3lh2,20826338,,,,medium
1f4y,10880560,,,,medium
4fab,2508085,,,,medium
1dzb,10926506,,,,medium
3bky,18346788,,,,medium
3hi1,19965434,,,,medium
2fx9,17125793,,,,medium
2ny4,17301785,,,,medium
3ggw,19328810,,,,medium
2dd8,16597622,,,,medium
3ru8,22021856,,,,medium
2qr0,17825836,,,,medium
1cz8,10543973,,,,medium
2h9g,16859704,,,,medium
2vwe,18930733,,,,medium
1uwx,16470851,,,,medium
2r56,17997967,,,,medium
3pp4,21444918,,,,medium
3b2u,18275813,,,,medium
3b2u,18275813,,,,medium
2hrp,9150407,,,,medium
1a4k,9506942,,,,medium
1oar,12610298,,,,medium
3ngb,20616231,,,,medium
3b2u,18275813,,,,medium
3skj,21867711,,,,medium
1eo8,10899782,,,,medium
3mj9,21220118,,,,medium
3bgf,19324051,,,,medium
1oar,12610298,,,,medium
3q1s,22033480,,,,medium
