PDB,Resolution,Has_Publication,PMID,Heavy_Chain,Light_Chain,Antigen_Chain,Meets_All_Criteria
3H3B,2.45Å,No,N/A,d,D,B,No (no publication)
1N8Z,2.52Å,No,N/A,B,A,C,No (no publication)
6BGT,2.7Å,No,N/A,B,A,C,No (no publication)
3BE1,2.9Å,Yes,19299620,H,L,A,Yes
6J71,2.918Å,No,N/A,B,b,A,No (no publication)
5O4G,3.0Å,No,N/A,B,A,C,No (no publication)
3WLW,3.088Å,No,N/A,C,D,A,No (no publication)
3N85,3.2Å,Yes,20654626,H,L,A,Yes
1S78,3.25Å,No,N/A,F,E,B,No (no publication)
8Q6J,3.3Å,No,N/A,B,A,E,No (no publication)
7MN8,3.45Å,No,N/A,D,C,B,No (no publication)
3WSQ,3.5Å,No,N/A,H,L,A,No (no publication)
